"Date","Time","Open","High","Low","Close","Vol","OI"
11/16/2007,16:00,48.66,49.15,48.13,49.10,52015,0
11/19/2007,16:00,46.53,50.59,46.25,46.47,15695,0
11/20/2007,16:00,47.55,48.17,46.66,47.82,7545,0
11/21/2007,16:00,45.70,46.81,45.33,45.70,1710,0
11/26/2007,16:00,46.73,47.46,46.30,46.30,7445,0
11/27/2007,16:00,47.24,47.24,46.30,47.15,7344,0
11/28/2007,16:00,48.73,48.98,48.04,48.98,15996,0
11/29/2007,16:00,49.40,49.72,48.69,49.59,17908,0
11/30/2007,16:00,49.58,50.39,49.06,49.06,9457,0
12/03/2007,16:00,49.67,50.03,48.88,48.88,5634,0
12/04/2007,16:00,49.20,49.49,48.96,48.96,122844,0
12/05/2007,16:00,49.75,50.05,49.45,49.61,193673,0
12/06/2007,16:00,50.10,51.16,50.03,51.16,14990,0
12/07/2007,16:00,50.01,51.16,49.76,49.86,10362,0
12/10/2007,16:00,49.75,50.95,49.29,49.70,6237,0
12/11/2007,16:00,49.69,50.05,47.67,47.95,6137,0
12/12/2007,16:00,49.06,50.05,47.59,48.27,69219,0
12/13/2007,16:00,46.92,47.97,46.92,47.89,26862,0
12/14/2007,16:00,47.10,48.11,46.87,46.97,15493,0
12/17/2007,16:00,45.38,46.96,44.92,44.92,24347,0
12/18/2007,16:00,47.53,47.53,44.95,45.56,24146,0
12/19/2007,16:00,47.08,47.15,46.42,46.91,13381,0
12/20/2007,16:00,49.01,49.01,46.02,46.91,5332,0
12/21/2007,16:00,48.26,48.27,47.74,48.27,4225,0
12/24/2007,16:00,48.97,48.97,48.68,48.69,1911,0
12/26/2007,16:00,49.01,49.01,48.67,48.67,5030,0
12/27/2007,16:00,47.96,48.00,47.48,47.48,20926,0
12/28/2007,16:00,48.62,48.67,47.47,47.73,25051,0
12/31/2007,16:00,49.40,49.40,47.66,47.80,14990,0
01/02/2008,16:00,47.71,47.71,46.30,46.60,14789,0
01/03/2008,16:00,48.35,48.35,46.65,46.72,19518,0
01/04/2008,16:00,46.68,46.72,45.37,45.61,12978,0
01/07/2008,16:00,47.15,47.15,45.41,46.14,11771,0
01/08/2008,16:00,47.27,47.27,45.47,45.66,31893,0
01/09/2008,16:00,47.43,47.43,46.13,46.99,1408,0
01/10/2008,16:00,48.10,48.10,45.72,47.01,27567,0
01/11/2008,16:00,45.47,46.06,45.42,45.42,13783,0
01/14/2008,16:00,45.84,45.98,45.52,45.88,20826,0
01/15/2008,16:00,45.72,45.82,43.80,44.20,18009,0
01/16/2008,16:00,42.99,43.26,42.01,42.53,19820,0
01/17/2008,16:00,43.90,43.90,42.38,42.38,8954,0
01/18/2008,16:00,41.49,43.83,41.49,43.33,4829,0
01/22/2008,16:00,43.72,44.01,40.77,43.06,8551,0
01/23/2008,16:00,43.08,43.08,40.11,41.85,7344,0
01/24/2008,16:00,42.53,43.25,42.53,43.23,16399,0
01/25/2008,16:00,45.56,45.56,42.84,43.11,5734,0
01/28/2008,16:00,42.78,42.78,42.14,42.68,6237,0
01/29/2008,16:00,43.21,43.31,42.94,43.09,15996,0
01/30/2008,16:00,42.42,43.25,42.10,42.20,7847,0
01/31/2008,16:00,41.92,43.36,41.57,43.36,10060,0
02/01/2008,16:00,43.89,43.89,43.39,43.39,2112,0
02/04/2008,16:00,45.13,45.13,44.22,44.36,6137,0
02/05/2008,16:00,44.71,44.71,42.02,42.49,7948,0
02/06/2008,16:00,42.26,42.55,41.01,41.01,11570,0
02/07/2008,16:00,41.17,41.99,40.47,41.59,3320,0
02/08/2008,16:00,41.97,41.97,41.42,41.66,8048,0
02/11/2008,16:00,41.55,41.96,40.77,41.95,3621,0
02/12/2008,16:00,42.37,42.82,42.17,42.17,4728,0
02/13/2008,16:00,42.65,43.14,42.17,43.14,8149,0
02/14/2008,16:00,43.28,43.70,43.09,43.09,2012,0
02/15/2008,16:00,43.67,43.67,42.84,43.04,16701,0
02/19/2008,16:00,45.02,45.02,43.51,43.55,11972,0
02/20/2008,16:00,43.67,43.83,42.92,43.83,9859,0
02/21/2008,16:00,44.67,44.67,42.86,42.86,3420,0
02/22/2008,16:00,43.43,43.43,42.71,43.20,5935,0
02/25/2008,16:00,44.12,44.12,43.21,43.78,6137,0
02/26/2008,16:00,44.06,44.69,44.01,44.64,8451,0
02/27/2008,16:00,43.38,45.35,43.38,45.12,25051,0
02/28/2008,16:00,44.96,45.00,44.72,44.83,905,0
02/29/2008,16:00,45.14,45.14,43.26,43.26,4728,0
03/03/2008,16:00,43.46,43.55,43.12,43.22,11972,0
03/04/2008,16:00,43.92,43.92,42.09,42.62,11771,0
03/05/2008,16:00,43.77,43.77,42.89,43.05,14185,0
03/06/2008,16:00,43.04,43.11,42.25,42.57,1509,0
03/07/2008,16:00,42.73,42.73,42.29,42.31,905,0
03/10/2008,16:00,42.36,42.36,41.75,41.87,6942,0
03/11/2008,16:00,42.61,43.16,42.32,42.66,50204,0
03/12/2008,16:00,43.39,43.39,42.35,42.47,5634,0
03/13/2008,16:00,41.25,41.46,40.60,41.46,73445,0
03/14/2008,16:00,42.73,42.73,40.21,40.21,2314,0
03/17/2008,16:00,39.72,39.72,39.13,39.69,110268,0
03/18/2008,16:00,39.82,41.28,39.82,41.28,40243,0
03/19/2008,16:00,42.05,42.05,39.86,39.86,6640,0
03/20/2008,16:00,41.16,41.57,39.68,40.31,3018,0
03/24/2008,16:00,41.41,43.61,41.41,43.29,25454,0
03/25/2008,16:00,44.93,44.93,42.91,43.63,21329,0
03/26/2008,16:00,43.34,43.34,42.93,42.95,5131,0
03/27/2008,16:00,43.31,43.31,42.53,42.72,5231,0
03/28/2008,16:00,43.47,43.47,43.07,43.09,10362,0
03/31/2008,16:00,43.89,43.89,42.75,42.94,14085,0
04/01/2008,16:00,44.83,45.08,43.90,45.08,12374,0
04/02/2008,16:00,45.69,45.69,44.24,44.77,5634,0
04/03/2008,16:00,44.98,45.85,44.98,45.42,6841,0
04/04/2008,16:00,46.24,46.24,45.00,45.38,23240,0
04/07/2008,16:00,46.49,46.49,45.75,45.75,50606,0
04/08/2008,16:00,45.72,45.72,45.01,45.18,6740,0
04/09/2008,16:00,45.03,45.15,44.09,44.38,6137,0
04/10/2008,16:00,44.96,45.34,44.91,45.12,7143,0
04/11/2008,16:00,44.12,46.31,44.12,44.73,1818,0
04/14/2008,16:00,45.78,45.78,44.73,44.73,9048,0
04/15/2008,16:00,44.73,44.96,44.62,44.83,14052,0
04/16/2008,16:00,45.52,46.32,45.33,46.15,13914,0
04/17/2008,16:00,46.18,46.18,45.09,45.49,12090,0
04/18/2008,16:00,46.48,46.48,45.99,46.17,17538,0
04/21/2008,16:00,46.33,46.66,45.97,46.32,5676,0
04/22/2008,16:00,46.68,46.68,45.25,46.02,34562,0
04/23/2008,16:00,46.64,47.35,46.60,47.21,17224,0
04/24/2008,16:00,47.07,47.22,46.45,47.22,7149,0
04/25/2008,16:00,47.76,48.93,46.36,46.36,58962,0
04/28/2008,16:00,47.68,48.00,47.23,47.55,11029,0
04/29/2008,16:00,47.45,47.45,46.79,47.43,4095,0
04/30/2008,16:00,48.78,49.55,47.15,47.75,81942,0
05/01/2008,16:00,48.02,48.28,47.34,48.20,13617,0
05/02/2008,16:00,49.12,49.12,47.63,48.08,117446,0
05/05/2008,16:00,48.39,48.39,47.42,47.71,38064,0
05/06/2008,16:00,47.79,48.12,47.50,48.11,14476,0
05/07/2008,16:00,48.03,48.03,46.40,46.40,47335,0
05/08/2008,16:00,46.22,46.68,46.18,46.33,20159,0
05/09/2008,16:00,45.55,45.92,45.42,45.90,6135,0
05/12/2008,16:00,45.66,46.18,45.66,46.04,23113,0
05/13/2008,16:00,46.96,46.96,46.30,46.35,20726,0
05/14/2008,16:00,46.61,47.20,46.61,46.96,28228,0
05/15/2008,16:00,47.34,47.39,47.21,47.34,13071,0
05/16/2008,16:00,47.72,47.83,47.53,47.83,35315,0
05/19/2008,16:00,48.45,48.45,47.60,48.10,8519,0
05/20/2008,16:00,47.41,47.41,45.82,46.15,41656,0
05/21/2008,16:00,46.51,46.58,45.51,46.06,25636,0
05/22/2008,16:00,46.24,46.24,46.09,46.16,15089,0
05/23/2008,16:00,44.97,45.26,43.67,44.91,135430,0
05/27/2008,16:00,44.93,45.44,44.77,45.44,33966,0
05/28/2008,16:00,45.99,45.99,44.71,45.22,29315,0
