"Date","Time","Open","High","Low","Close","Vol","OI"
03/17/1992,16:00,8.85,8.85,8.85,8.85,100,0
03/18/1992,16:00,8.87,8.87,8.87,8.87,100,0
03/20/1992,16:00,8.73,8.73,8.73,8.73,100,0
03/26/1992,16:00,8.76,8.76,8.75,8.76,100,0
03/31/1992,16:00,8.80,8.80,8.80,8.80,100,0
04/06/1992,16:00,9.01,9.01,9.01,9.01,100,0
04/09/1992,16:00,8.83,8.83,8.83,8.83,100,0
04/10/1992,16:00,9.00,9.00,9.00,9.00,100,0
04/13/1992,16:00,8.87,8.87,8.87,8.87,100,0
04/17/1992,16:00,8.80,8.80,8.80,8.80,100,0
04/20/1992,16:00,8.79,8.79,8.79,8.79,100,0
04/21/1992,16:00,8.84,8.84,8.83,8.84,100,0
04/22/1992,16:00,8.87,8.87,8.87,8.87,100,0
04/23/1992,16:00,8.89,8.89,8.89,8.89,100,0
04/27/1992,16:00,8.85,8.85,8.84,8.85,100,0
04/29/1992,16:00,8.79,8.79,8.79,8.79,100,0
05/01/1992,16:00,8.79,8.79,8.79,8.79,100,0
05/04/1992,16:00,8.79,8.79,8.78,8.79,100,0
05/07/1992,16:00,8.96,8.96,8.95,8.96,100,0
05/08/1992,16:00,8.88,8.88,8.88,8.88,100,0
05/11/1992,16:00,8.93,8.93,8.93,8.93,100,0
05/13/1992,16:00,9.04,9.04,9.04,9.04,100,0
05/14/1992,16:00,9.05,9.05,9.05,9.05,100,0
05/15/1992,16:00,8.99,8.99,8.99,8.99,100,0
05/18/1992,16:00,9.19,9.19,9.19,9.19,100,0
05/19/1992,16:00,9.26,9.26,9.26,9.26,100,0
05/20/1992,16:00,9.31,9.32,9.31,9.31,100,0
05/21/1992,16:00,9.24,9.24,9.24,9.24,100,0
05/22/1992,16:00,9.25,9.25,9.25,9.25,100,0
05/28/1992,16:00,9.14,9.14,9.14,9.14,100,0
06/01/1992,16:00,9.30,9.30,9.30,9.30,100,0
06/02/1992,16:00,9.26,9.26,9.26,9.26,100,0
